family,number,id,name,description,type,status,placeholder_values,profile_notes,page
SC,51,sc-51,Hardware-based protection,"A. Employ hardware-based write-protect for [Assignment: organization-defined system firmware components].
B. Implement specific procedures for [Assignment: organization-defined authorized individuals] to manually disable
hardware write-protect for firmware modifications and re-enable the write-protect prior to returning to operational mode.",Control,Not selected,NA,NA,136
SC,400,sc-400,Entity source authentication,The information system allows a message recipient to verify the claimed source identifier in a message.,Control,Not selected,NA,NA,136
SC,400(01),sc-400.1,Entity source authentication,"Entity source authentication: Claimed identifier authentication
Authentication of the claimed identifier in the message is cryptographically based.",Control,Not selected,NA,NA,136
SC,400(02),sc-400.2,Entity source authentication,"Entity source authentication: Digital signature
The organization employs Cryptographic Module Validation Program (CMVP)-certified cryptography for digital signature
generation and verification.",Control,Not selected,NA,NA,136
SC,400(03),sc-400.3,Entity source authentication,"Entity source authentication: Authentication implementation
The organization employs Cyber Centre-approved cryptography and protocols to implement the authentication.",Control,Not selected,NA,NA,136
SC,401,sc-401,Unclassified telecommunicat ions systems in secure facilities,"A. Unclassified telecommunications systems in secure facilities must not pass/transmit sensitive audio discussions when
they are idle and not in use. Additionally, these telecommunications systems must be configured to prevent external
control or activation. The concepts of on-hook audio protection outlined in CNSSI 5002 and 5006 must be incorporated
into secure facilities’ telecommunications systems.
B. Unclassified telephone systems and services must be configured to prevent technical exploitation or penetration. In
addition, these systems must incorporate physical and software access controls to prevent disclosure or manipulation of
system programming and stored data.
C. The organization must ensure that the following specific requirements are applied to unclassified telecommunications
systems:
136
1. Provide on-hook audio protection by the use of CNSSI 5006 equipment, CNSSI 5006-approved disconnect devices, or
equivalent CNSSI 5002 system configuration
2. Provide isolation by using a computerized telephone system (CTS) with control of software and hardware configuration
control and of audit reports (such as station message detail reporting, call detail reporting, etc.). System programming
will not include the ability to place, or keep, a handset off-hook. Configuration of the system must ensure that all on-hook
and off-hook vulnerabilities are identified and mitigated
3. Ensure that equipment used for the administration of telephone systems is installed inside an area where access is
limited to authorized personnel. When local administration terminals (for a CTS) are not or cannot be contained within the
controlled area or safeguarded against unauthorized manipulation, then the use of CNSSI 5006-approved telephone
equipment must be required, regardless of the CTS configuration
4. Ensure that remote maintenance is not used outside the secure facility
5. Ensure that speakerphones and audio-conferencing systems are not used on unclassified telecommunications systems
in secure facilities. CSE may approve exceptions to this requirement when these systems have sufficient audio isolation
from other classified discussion areas in the secure facility, and when there are established procedures to prevent
inadvertent transmission of classified information
6. Ensure that features used for voicemail or unified messaging services are configured to prevent unauthorized access to
remote diagnostic ports or internal dial tone
7. Ensure that telephone answering devices (TAD) and facsimile machines do not contain features that introduce security
vulnerabilities, for example, remote room monitoring, remote programming, or other similar features that may permit off-
premises access to room audio. Prior CSE approval is required before installation or use.
D. All unclassified telecommunications systems and associated infrastructure must be electrically and physically isolated
from any classified information/telecommunications systems in accordance with CNSS requirements or any other
separation standards applied to the classified information system on site.
E. The security requirements and installation guidelines contained in the CNSSI 5000 shall be followed for VoIP systems
installed in any physical security zone processing classified information.",Control,Not selected,NA,NA,136
SI,01,si-1,System and information integrity policy and procedures,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and information
integrity policy that:
a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational
entities, and compliance
b. is consistent with applicable laws, Orders in Council, directives, regulations, policies, standards, and guidelines
2. procedures to facilitate the implementation of the system and information integrity policy and the associated system
and information integrity controls
B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and
dissemination of the system and information integrity policy and procedures.
C. Review and update the current system and information integrity:
1. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
2. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",Activity,Selected,NA,NA,137
SI,02,si-2,Flaw remediation,"A. Identify, report, and correct system flaws.
B. Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before
installation.
C. Install security-relevant software and firmware updates within [Assignment: organization-defined time period] of the
release of the updates.
D. Incorporate flaw remediation into the organizational configuration management process.",Control,Selected,NA,NA,138
SI,02(01),si-2.1,Flaw remediation,"Flaw remediation: Central management
Withdrawn: Incorporated into PL-09.",NA,NA,NA,NA,138
SI,02(02),si-2.2,Flaw remediation,"Flaw remediation: Automated flaw remediation status
Determine if system components have applicable security-relevant software and firmware updates installed using
[Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency].",Control,Selected,NA,NA,138
